Data Description:|Unnamed: 1
My community is invested in active military/veterans:To what extent do you agree or disagree with the following statements:|"""Strongly disagree"", ""Disagree"", ""Agree"", ""Strongly Agree"", or ""Not Applicable"""
Active military members/veterans can thrive in my community:To what extent do you agree or disagree with the following statements:|"""Strongly disagree"", ""Disagree"", ""Agree"", ""Strongly Agree"", or ""Not Applicable"""
There are opportunities for active military members/veterans in my community:To what extent do you agree or disagree with the following statements:|"""Strongly disagree"", ""Disagree"", ""Agree"", ""Strongly Agree"", or ""Not Applicable"""
There is a strong network of support for active military/veterans in my community:To what extent do you agree or disagree with the following statements:|"""Strongly disagree"", ""Disagree"", ""Agree"", ""Strongly Agree"", or ""Not Applicable"""
Organizations in my community provide active military/veterans with the services they need:To what extent do you agree or disagree with the following statements:|"""Strongly disagree"", ""Disagree"", ""Agree"", ""Strongly Agree"", or ""Not Applicable"""
There are people I can depend on to help me if I really need it:To what extent do you agree or disagree with the following statements:|"""Strongly disagree"", ""Disagree"", ""Agree"", ""Strongly Agree"", or ""Not Applicable"""
There are opportunities for my family/caregiver  to connect with fellow military/veteran families/caregivers:To what extent do you agree or disagree with the following statements:|"""Strongly disagree"", ""Disagree"", ""Agree"", ""Strongly Agree"", or ""Not Applicable"""
I have the resources I need for my care:To what extent do you agree or disagree with the following statements:|"""Strongly disagree"", ""Disagree"", ""Agree"", ""Strongly Agree"", or ""Not Applicable"""
Is highly responsive:To what extent do you agree or disagree with the following statements regarding <Community Integration Organization>?|"""Strongly disagree"", ""Disagree"", ""Agree"", ""Strongly Agree"", or ""Not Applicable"""
Cares deeply about my well being:To what extent do you agree or disagree with the following statements regarding <Community Integration Organization>?|"""Strongly disagree"", ""Disagree"", ""Agree"", ""Strongly Agree"", or ""Not Applicable"""
Has improved my community's understanding of active military/veterans issues:To what extent do you agree or disagree with the following statements regarding <Community Integration Organization>?|"""Strongly disagree"", ""Disagree"", ""Agree"", ""Strongly Agree"", or ""Not Applicable"""
Has connected me to other veterans:To what extent do you agree or disagree with the following statements regarding <Community Integration Organization>?|"""Strongly disagree"", ""Disagree"", ""Agree"", ""Strongly Agree"", or ""Not Applicable"""
Has connected my family/caregiver to other active military/veteran family members or their caregivers:To what extent do you agree or disagree with the following statements regarding <Community Integration Organization>?|"""Strongly disagree"", ""Disagree"", ""Agree"", ""Strongly Agree"", or ""Not Applicable"""
Has helped me feel more connected to my community:To what extent do you agree or disagree with the following statements regarding <Community Integration Organization>?|"""Strongly disagree"", ""Disagree"", ""Agree"", ""Strongly Agree"", or ""Not Applicable"""
Has helped me navigate complex bureaucracies:To what extent do you agree or disagree with the following statements regarding <Community Integration Organization>?|"""Strongly disagree"", ""Disagree"", ""Agree"", ""Strongly Agree"", or ""Not Applicable"""
Has helped me find a better job that can support me/my family :To what extent do you agree or disagree with the following statements regarding <Community Integration Organization>?|"""Strongly disagree"", ""Disagree"", ""Agree"", ""Strongly Agree"", or ""Not Applicable"""
Has helped me stay in my current job:To what extent do you agree or disagree with the following statements regarding <Community Integration Organization>?|"""Strongly disagree"", ""Disagree"", ""Agree"", ""Strongly Agree"", or ""Not Applicable"""
Has helped me become healthier overall:To what extent do you agree or disagree with the following statements regarding <Community Integration Organization>?|"""Strongly disagree"", ""Disagree"", ""Agree"", ""Strongly Agree"", or ""Not Applicable"""
Has helped me improve my level of physical fitness:To what extent do you agree or disagree with the following statements regarding <Community Integration Organization>?|"""Strongly disagree"", ""Disagree"", ""Agree"", ""Strongly Agree"", or ""Not Applicable"""
Has helped me improve my eating habits:To what extent do you agree or disagree with the following statements regarding <Community Integration Organization>?|"""Strongly disagree"", ""Disagree"", ""Agree"", ""Strongly Agree"", or ""Not Applicable"""
Has reduced my level of daily stress:To what extent do you agree or disagree with the following statements regarding <Community Integration Organization>?|"""Strongly disagree"", ""Disagree"", ""Agree"", ""Strongly Agree"", or ""Not Applicable"""
Has helped me feel more fulfilled in my daily life:To what extent do you agree or disagree with the following statements regarding <Community Integration Organization>?|"""Strongly disagree"", ""Disagree"", ""Agree"", ""Strongly Agree"", or ""Not Applicable"""
Has empowered me:To what extent do you agree or disagree with the following statements regarding <Community Integration Organization>?|"""Strongly disagree"", ""Disagree"", ""Agree"", ""Strongly Agree"", or ""Not Applicable"""
Has helped me improve my financial habits:To what extent do you agree or disagree with the following statements regarding <Community Integration Organization>?|"""Strongly disagree"", ""Disagree"", ""Agree"", ""Strongly Agree"", or ""Not Applicable"""
What is your zip code?|Zip code
State|State
How did you first hear about <Community Integration Organization>?|"""I was approached by a staff member/volunteer"", ""I was referred by someone"", ""I saw a public advertisement or notice"""
Who referred you?|"""A veteran/active military member"", ""A family member, caregiver or friend"", or ""A representative from another organization"""
Where did <Community Integration Organization>  first engage you?|"""At an event"", ""At the Veteran's Affairs (VA) hospital/office"", ""At an educational institution"", ""In another public or private location - please describe"", or ""Walk-in"""
Referral Type|"""Outreach"" if At an event, At the Veteran's Affiars, At an educational institution, or in another public or private location""; ""Walk-in"" if walk-in"
I have engaged with them regarding volunteer opportunities.:To date, <Community Integration Organization> provided me with information or resources in the following ways.  Please check all that apply.|"""I have engaged with them regarding volunteer opportunities."""
I have engaged with them regarding recreational opportunities.|"""I have engaged with them regarding recreational opportunities."""
They connected me with other military/veteran service members or their family/caregiver.:To date, <Community Integration Organization> provided me with information or resources in the following ways.  Please check all that apply.|"""They connected me with other military/veteran service members or their family/caregiver."""
I have engaged with their staff/volunteers about obstacles and challenges I'm facing (e.g., benefits, enrollment, resume assistance, education enrollment, support groups).:To date, <Community Integration Organization> provided me with information or resources in the following ways.  Please check all that apply.|"""I have engaged with their staff/volunteers about obstacles and challenges I'm facing (e.g., benefits, enrollment, resume assistance, education enrollment, support groups)."""
None of the Above:To date, <Community Integration Organization> provided me with information or resources in the following ways.  Please check all that apply.|"""None of the Above"""
Do staff members at <Community Integration Organization> still communicate with you to include in-person meetings, newsletters, emails, phone calls, or social media campaigns? |"""Yes"" or ""No"""
About how long have you been receiving information or resources from <Community Integration Organization>?|"""Less than 1 month"", ""1-3 months"", ""3-6 months"", ""6-12 months"", ""1-2 years"", or ""Over 2 years"""
On average, how often do you speak with/communicate with or receive information from <Community Integration Organization> staff?|"""A few times a year"", ""Once a month"", ""A few times a month"", ""Once a week"", or ""More than once a week"""
Which best describes your relationship with <Community Integration Organization>?|"""I am currently receiving support"", ""I received the support I need"", or ""I have not requested support"""
Which best describes your relationship with <Community Integration Organization>?|"""I receive newsletters or follow them on social media"", ""I have never received their newsletter nor followed them on social media"", or ""I unsubscribed from their newsletter and social media"""
I have donated to them:Which best describes your relationship with <Community Integration Organization>? (Select all that apply)|"""I have donated to them"""
I have volunteered with them:Which best describes your relationship with <Community Integration Organization>? (Select all that apply)|"""I have volunteered with them"""
I have participated in their events:Which best describes your relationship with <Community Integration Organization>? (Select all that apply)|"""I have participated in their events"""
None of the above:Which best describes your relationship with <Community Integration Organization>? (Select all that apply)|"""None of the Above"""
Overall, how satisfied are you with <Community Integration Organization>'s ability to provide information and resources? Please use the scale below to indicate your level of satisfaction.|"""Extremely Dissatisfied"", ""Dissatisfied"", ""Neutral"", ""Satisfied"", or ""Extremely Satisfied"""
How likely is it that you would recommend <Community Integration Organization> to a veteran or friend? Please use the scale below to indicate your likelihood to recommend <Community Integration Organization>. |"""Extremely Unlikely"", ""Unlikely"", ""Neutral"", ""Likely"", or ""Extremely Likely"""
How long have you been at your current job?|"""Less than 3 months"", ""3-6 months"", ""6-12 months"", or ""Over 1 year"""
Do you consider your current job a career?|"""Yes"" or ""No"""
Are you actively seeking employment?|"""Yes"" or ""No"""
How long have you been actively seeking employment?|"""1-4 weeks"", ""1-2 months"", or ""More than 3 months"""
Did <Community Integration Organization> or a community partner help you secure your current job?|"""Yes"" or ""No"""
Including yourself, how many people do you support and consider to be part of your household?|"""1 - Just me"", ""2"", ""3"", ""4"", ""5"", ""6"", or ""Over 6"""
Approximately how much was your household annual income for the previous year? |"""$0 (none)"", ""$1-$25,000"", ""$25,000-$40,000"", ""$40,000-$55,000"", ""$55,000-$70,000"", ""$70,000 or above"", or ""Don't know or prefer not to respond"""
Individual annual income:|"""$0 (none)"", ""$1-$25,000"", ""$25,000-$40,000"", ""$40,000-$55,000"", ""$55,000-$70,000"", ""$70,000 or above"", or ""Don't know or prefer not to respond"""
Have you ever used education benefits from the VA to pursue a degree or certification? (e.g., Montgomery, Post-9/11, GI Bill)|"""Yes"", ""No"", or ""I don't know/unsure"""
"At educational institutions/programs that you are currently enrolled in, have you had more than one ""withdrawal"" or ""incomplete"" course per semester or academic/course/training term?"|"""Yes"", ""No"", or ""Don't know"""
Did <Community Integration Organization> or an organization they referred you to, help you enroll in school/an educational program that you are attending or have attended? |"""Yes - helped me enroll at a school/in a program I am currently attending"", ""Yes - helped me enroll at a school/in a program I no longer attend"", ""Yes - helped me enroll at a school/in a program for a degree or certification I completed"", or ""No- did not help me enroll in a school/in a program"
What degree or level of school did you complete after <Community Integration Organization>/their Partner helped you enroll?|"Completed a ""Regular high school diploma or GED"", ""Business, technical or vocational school training leading to a certificate or diploma"", ""Associate's degree"", ""Bachelor's degree"", Master's degree"", or ""Professional or doctorate degree beyond a bachelor's degree"""
Do you have a budget?|"""Yes"" or ""No"""
Do you regularly follow your budget?|"""Yes"" or ""No"""
Do you have any emergency savings?|"""Yes"" or ""No"""
Approximately how many months of expenses would your emergency savings cover?|"""Less than 1 month of expenses"", ""1-3 months of expenses"", or ""3 or more months of expenses"""
Do you know your credit score?|"""Yes"" or ""No"""
Approximately what is your credit score?|"""Less than 600"", ""600-659"", ""660-699"", ""700-740"", ""741 and higher"", or ""Prefer not to answer"""
Do you currently have any untreated medical conditions? Note: Medical conditions may include any short or long-term physical or mental issues (e.g., neck pain, traumatic brain injury (TBI), post-traumatic stress disorder (PTSD), sleep problems, diabetes, heart conditions etc.)|"""Yes"" or ""No"""
Chronic diseases or conditions including heart and circulatory conditions, cancers, respiratory disease (e.g., asthma), diabetes, allergies, arthritis, anemia, bronchitis, emphysema, epilepsy, HIV/AIDS, kidney disease, osteoporosis and thyroid conditions:Please check all that apply to indicate which type of medical conditions you are not currently receiving treatment for:|"""Chronic diseases or conditions including heart and circulatory conditions, cancers, respiratory disease (e.g., asthma), diabetes, allergies, arthritis, anemia, bronchitis, emphysema, epilepsy, HIV/AIDS, kidney disease, osteoporosis and thyroid conditions"""
Disabilities including sight or hearing problems, speech problems, limited use of legs or feet, and limited use of arms or fingers:Please check all that apply to indicate which type of medical conditions you are not currently receiving treatment for:|"""Disabilities including sight or hearing problems, speech problems, limited use of legs or feet, and limited use of arms or fingers"""
Bodily pain including burns, ankle/feet injuries, back, neck or shoulder problems, fractured bones, hand injuries, hip injuries, knee injuries or problems and nerve injuries:Please check all that apply to indicate which type of medical conditions you are not currently receiving treatment for:|"""Bodily pain including burns, ankle/feet injuries, back, neck or shoulder problems, fractured bones, hand injuries, hip injuries, knee injuries or problems and nerve injuries"""
Mental health conditions include anxiety, depression, post-traumatic stress disorder (PTSD), traumatic brain injury (TBI), migraines / severe headaches, military sexual trauma, and sleep problems:Please check all that apply to indicate which type of medical conditions you are not currently receiving treatment for:|"""Mental health conditions include anxiety, depression, post-traumatic stress disorder (PTSD), traumatic brain injury (TBI), migraines / severe headaches, military sexual trauma, and sleep problems"""
Prefer not to disclose:Please check all that apply to indicate which type of medical conditions you are not currently receiving treatment for:|"""Prefer not to disclose"""
Other::Please check all that apply to indicate which type of medical conditions you are not currently receiving treatment for:|"""Other"""
You have indicated that you have a form of healthcare coverage as well as you have untreated medical conditions. What prevents you from receiving treatment for your medical conditions?  |"""Unable to access healthcare provider (location or distance to privider is over 100 miles)"", ""Work/personal schedule doesn't allow for time off"", ""Unable to find healthcare provider that I like"", ""Fear of doctors"", or ""Other"""
Do you currently have any medical conditions that are being or have been treated? |"""Yes"" or ""No"""
Chronic diseases or conditions including heart and circulatory conditions, cancers, respiratory disease (e.g., asthma), diabetes, allergies, arthritis, anemia, bronchitis, emphysema, epilepsy, HIV/AIDS, kidney disease, osteoporosis and thyroid conditions:Please check all that apply to indicate which type of medical conditions you are currently receiving treatment for:|"""Chronic diseases or conditions including heart and circulatory conditions, cancers, respiratory disease (e.g., asthma), diabetes, allergies, arthritis, anemia, bronchitis, emphysema, epilepsy, HIV/AIDS, kidney disease, osteoporosis and thyroid conditions"""
Disabilities including sight or hearing problems, speech problems, limited use of legs or feet, and limited use of arms or fingers:Please check all that apply to indicate which type of medical conditions you are currently receiving treatment for:|"""Disabilities including sight or hearing problems, speech problems, limited use of legs or feet, and limited use of arms or fingers"""
Bodily pain including burns, ankle/feet injuries, back, neck or shoulder problems, fractured bones, hand injuries, hip injuries, knee injuries or problems and nerve injuries:Please check all that apply to indicate which type of medical conditions you are currently receiving treatment for:|"""Bodily pain including burns, ankle/feet injuries, back, neck or shoulder problems, fractured bones, hand injuries, hip injuries, knee injuries or problems and nerve injuries"""
Mental health conditions include anxiety, depression, post-traumatic stress disorder (PTSD), traumatic brain injury (TBI), migraines / severe headaches, military sexual trauma, and sleep problems:Please check all that apply to indicate which type of medical conditions you are currently receiving treatment for:|"""Mental health conditions include anxiety, depression, post-traumatic stress disorder (PTSD), traumatic brain injury (TBI), migraines / severe headaches, military sexual trauma, and sleep problems"""
Prefer not to disclose:Please check all that apply to indicate which type of medical conditions you are currently receiving treatment for:|"""Prefer not to disclose"""
Other::Please check all that apply to indicate which type of medical conditions you are currently receiving treatment for:|"""Other"""
Has <Community Integration Organization> or their Partners provided assistance in submitting or updating a healthcare/benefits claim?|"""Yes"" or ""No"""
Was the healthcare/benefits claim resolved?|"""Yes"" or ""No"""
Please indicate how long it took to resolve your healthcare/benefits claim:|"""Less than a month"", ""1-3 months"", ""4-6 months"", ""7-12 months"", or ""Over 12 months"""
Please indicate how long you have been waiting for a resolution of your un-resolved claims.|"""Less than a month"", ""1-3 months"", ""4-6 months"", ""7-12 months"", or ""Over 12 months"""
On average, how many hours of sleep do you get each night?|"""less than 5 hours"", ""5-6 hours"", ""7-8 hours"", or ""9 or more hours"""
Do you have any injuries or disabilities that prevent you from engaging in moderate physical activity? Moderate exercise includes: brisk walks, jogs, cycling, team sports etc. |"""Yes"" or ""No"""
Do you regularly exercise (engage in physical activity)?|"""Yes"" or ""No"""
On a weekly basis how much moderate exercise / physical activity do you typically complete? Moderate exercise includes: brisk walks, jogs, cycling, team sports etc. The table below provides a quick reference of total exercise time based on a 30 minute workout.|"""Under 1 hour"", 1-1.5 hours"", ""1.5-2 hours"", ""2-2.5 hours"", or ""Over 2.5 hours"""
Feet:About how tall are you without shoes? Please estimate to the best of your ability.|# of feet tall for individual
Inches:About how tall are you without shoes? Please estimate to the best of your ability.|# of inches tall for individual between 1-11 inches
What is your current weight? (in pounds) |# of pounds the individual weighs
